DSAC
Консоль:
Ep 1460 | Reward:   121.2 | Avg100:    32.9 | Best:   181.7 | Steps: 1000 | Loss: 0.2439
Ep 1470 | Reward:   -14.3 | Avg100:    24.7 | Best:   181.7 | Steps: 1000 | Loss: 0.7144
Ep 1480 | Reward:   106.0 | Avg100:    28.9 | Best:   181.7 | Steps: 1000 | Loss: 0.1573
Ep 1490 | Reward:   116.8 | Avg100:    31.4 | Best:   181.7 | Steps: 1000 | Loss: 0.2553
Ep 1500 | Reward:    42.9 | Avg100:    31.6 | Best:   181.7 | Steps: 129 | Loss: -0.1533
Ep 1510 | Reward:    44.0 | Avg100:    39.4 | Best:   253.3 | Steps: 113 | Loss: -0.5277
Ep 1520 | Reward:    27.2 | Avg100:    39.2 | Best:   253.3 | Steps: 119 | Loss: -0.3989
Ep 1530 | Reward:    22.2 | Avg100:    40.4 | Best:   253.3 | Steps: 116 | Loss: -0.2562
Ep 1540 | Reward:   154.6 | Avg100:    49.9 | Best:   253.3 | Steps: 1000 | Loss: 0.4566
Ep 1550 | Reward:   121.2 | Avg100:    52.3 | Best:   253.3 | Steps: 1000 | Loss: 0.3392
Ep 1560 | Reward:    33.4 | Avg100:    56.5 | Best:   253.3 | Steps: 190 | Loss: -0.4040
Ep 1570 | Reward:   -53.3 | Avg100:    61.7 | Best:   253.3 | Steps: 290 | Loss: -0.3676
Ep 1580 | Reward:    93.2 | Avg100:    60.6 | Best:   253.3 | Steps: 1000 | Loss: 0.1616
Ep 1590 | Reward:   138.9 | Avg100:    62.0 | Best:   253.3 | Steps: 1000 | Loss: -0.1782
Ep 1600 | Reward:    92.7 | Avg100:    69.7 | Best:   253.3 | Steps: 1000 | Loss: 0.2521
Ep 1610 | Reward:     4.2 | Avg100:    67.6 | Best:   253.3 | Steps: 133 | Loss: -0.0159
Ep 1620 | Reward:  -218.3 | Avg100:    64.3 | Best:   253.3 | Steps: 184 | Loss: 0.1640
Ep 1630 | Reward:   104.5 | Avg100:    66.2 | Best:   253.3 | Steps: 1000 | Loss: 0.3487
Ep 1640 | Reward:    96.1 | Avg100:    65.7 | Best:   253.3 | Steps: 1000 | Loss: 0.1809
Ep 1650 | Reward:   -91.0 | Avg100:    66.7 | Best:   253.3 | Steps: 762 | Loss: 0.0043
Ep 1660 | Reward:    95.8 | Avg100:    70.3 | Best:   253.3 | Steps: 1000 | Loss: 0.2502
Ep 1670 | Reward:    92.1 | Avg100:    73.9 | Best:   253.3 | Steps: 1000 | Loss: -0.0528
Ep 1680 | Reward:    94.0 | Avg100:    75.3 | Best:   253.3 | Steps: 1000 | Loss: 0.2739
Ep 1690 | Reward:    95.0 | Avg100:    79.1 | Best:   253.3 | Steps: 1000 | Loss: 0.0263
Ep 1700 | Reward:    42.8 | Avg100:    76.3 | Best:   253.3 | Steps: 158 | Loss: -0.1699
Ep 1710 | Reward:   129.6 | Avg100:    74.7 | Best:   253.3 | Steps: 1000 | Loss: 0.1066
Ep 1720 | Reward:   158.8 | Avg100:    79.1 | Best:   253.3 | Steps: 1000 | Loss: 0.2081
Ep 1730 | Reward:     1.6 | Avg100:    80.2 | Best:   253.3 | Steps: 100 | Loss: 0.6001
Ep 1740 | Reward:   140.4 | Avg100:    81.4 | Best:   253.3 | Steps: 1000 | Loss: 0.2761
Ep 1750 | Reward:   153.5 | Avg100:    86.7 | Best:   253.3 | Steps: 1000 | Loss: 0.1590
Ep 1760 | Reward:   113.3 | Avg100:    85.6 | Best:   253.3 | Steps: 1000 | Loss: 0.1324
Ep 1770 | Reward:   150.2 | Avg100:    85.9 | Best:   253.3 | Steps: 1000 | Loss: 0.2855
Ep 1780 | Reward:    -2.3 | Avg100:    84.5 | Best:   253.3 | Steps: 122 | Loss: 0.4095
Ep 1790 | Reward:   151.8 | Avg100:    79.8 | Best:   253.3 | Steps: 1000 | Loss: 0.3347
Ep 1800 | Reward:     9.9 | Avg100:    82.3 | Best:   253.3 | Steps: 179 | Loss: -0.3500
Ep 1810 | Reward:   142.4 | Avg100:    83.6 | Best:   253.3 | Steps: 1000 | Loss: 0.1924
Ep 1820 | Reward:   156.3 | Avg100:    87.9 | Best:   253.3 | Steps: 1000 | Loss: 0.1530
